Ji,Jf,L1,L2,R2_L1L1,R2_L1L2,R2_L2L2,R4_L1L1,R4_L1L2,R4_L2L2,R6_L1L1,R6_L1L2,R6_L2L2,R8_L1L1,R8_L1L2,R8_L2L2
1,0,1,2,0.7071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2,-0.3536,1.0607,-0.3536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,2,0.0707,-0.4743,0.3536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2,3,-0.101,-0.378,0.5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,3,4,-0.1768,-0.3062,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,3,-0.5976,0.0,0.0,-1.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,2,0.4183,0.9354,-0.2988,0.0,0.0,0.7127,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,2,-0.4183,0.6124,0.1281,0.0,0.0,-0.3054,0.0,0.0,0.0,0.0,0.0,0.0
2,3,1,2,0.1195,-0.6547,0.3415,0.0,0.0,0.0764,0.0,0.0,0.0,0.0,0.0,0.0
2,4,2,3,-0.1707,-0.5051,0.4482,-0.0085,0.0627,-0.0297,0.0,0.0,0.0,0.0,0.0,0.0
2,5,3,4,-0.2988,-0.4009,0.4618,0.004,0.0815,-0.1093,0.0,0.0,0.0,0.0,0.0,0.0
3,0,3,4,-0.866,0.0,0.0,0.2132,0.0,0.0,1.3056,0.0,0.0,0.0,0.0,0.0
3,1,2,3,-0.4949,0.4629,-0.6495,-0.4467,-1.0446,0.0355,0.0,0.0,-0.9792,0.0,0.0,0.0
3,2,1,2,0.3464,0.9487,-0.1237,0.0,0.0,0.6701,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1,2,-0.433,0.433,0.2268,0.0,0.0,-0.4467,0.0,0.0,0.0,0.0,0.0,0.0
3,4,1,2,0.1443,-0.7217,0.3093,0.0,0.0,0.1489,0.0,0.0,0.0,0.0,0.0,0.0
3,5,2,3,-0.2062,-0.5455,0.3608,-0.0203,0.1343,-0.0549,0.0,0.0,-0.0099,0.0,0.0,0.0
3,6,3,4,-0.3608,-0.427,0.3346,0.0097,0.172,-0.1946,0.0008,-0.0063,-0.0014,0.0,0.0,0.0
