Ji,Jf,L1,L2,R2_L1L1,R2_L1L2,R2_L2L2,R4_L1L1,R4_L1L2,R4_L2L2,R6_L1L1,R6_L1L2,R6_L2L2,R8_L1L1,R8_L1L2,R8_L2L2
1.5,0.5,1,2,0.5,0.866,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.5,1,2,-0.4,0.7746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,2.5,1,2,0.1,-0.5916,0.3571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,3.5,2,3,-0.1429,-0.4629,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,4.5,3,4,-0.25,-0.3708,0.5409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.5,2,3,-0.5345,0.378,-0.8018,-0.6172,-1.0911,0.1543,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1.5,1,2,0.3742,0.9487,-0.1909,0.0,0.0,0.7054,0.0,0.0,0.0,0.0,0.0,0.0
2.5,2.5,1,2,-0.4276,0.5071,0.1909,0.0,0.0,-0.3968,0.0,0.0,0.0,0.0,0.0,0.0
2.5,3.5,1,2,0.1336,-0.6944,0.3245,0.0,0.0,0.1176,0.0,0.0,0.0,0.0,0.0,0.0
2.5,4.5,2,3,-0.1909,-0.5297,0.4009,-0.0147,0.1019,-0.0444,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5.5,3,4,-0.3341,-0.4173,0.3924,0.007,0.1314,-0.1602,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.5,3,4,-0.8183,0.2113,-0.9274,0.1709,-0.6621,0.5128,0.6528,1.1798,0.0435,0.0,0.0,0.0
3.5,1.5,2,3,-0.4676,0.5051,-0.5455,-0.3582,-0.9671,-0.019,0.0,0.0,-0.8704,0.0,0.0,0.0
