l1,l2,J,s,S0,S2,S4,S6,S8
0,0,0,0,1.0,0.0,0.0,0.0,0.0
1,1,1,0,1.0,-1.41421,0.0,0.0,0.0
2,2,2,0,1.0,-1.19523,1.60357,0.0,0.0
3,3,3,0,1.0,-1.1547,1.2792,-1.74078,0.0
4,4,4,0,1.0,-1.13961,1.20687,-1.3484,1.8511
0,0,1,1,1.0,0.0,0.0,0.0,0.0
1,1,0,1,1.0,0.0,0.0,0.0,0.0
1,1,1,1,1.0,0.70711,0.0,0.0,0.0
1,1,2,1,1.0,-0.83666,0.0,0.0,0.0
2,2,1,1,1.0,-0.70711,0.0,0.0,0.0
2,2,2,1,1.0,-0.59761,-1.06904,0.0,0.0
2,2,3,1,1.0,-0.98974,0.67006,0.0,0.0
3,3,2,1,1.0,-0.95618,0.53452,0.0,0.0
3,3,3,1,1.0,-0.86603,0.2132,1.30558,0.0
3,3,4,1,1.0,-1.04464,0.87163,-0.56183,0.0
4,4,3,1,1.0,-1.03098,0.82235,-0.43519,0.0
4,4,4,1,1.0,-0.96866,0.60344,0.06742,-1.48088
4,4,5,1,1.0,-1.07052,0.96275,-0.77424,0.48656
0,2,1,1,0.0,1.0,0.0,0.0,0.0
1,3,2,1,0.0,0.29277,-1.30931,0.0,0.0
2,4,3,1,0.0,0.14286,-0.52753,1.50756,0.0
0,0,2,2,1.0,0.0,0.0,0.0,0.0
1,1,1,2,1.0,-0.14142,0.0,0.0,0.0
1,1,2,2,1.0,0.83666,0.0,0.0,0.0
1,1,3,2,1.0,-0.69282,0.0,0.0,0.0
2,2,0,2,1.0,0.0,0.0,0.0,0.0
2,2,1,2,1.0,0.70711,0.0,0.0,0.0
2,2,2,2,1.0,0.25612,0.45816,0.0,0.0
2,2,3,2,1.0,-0.24744,-1.00509,0.0,0.0
2,2,4,2,1.0,-0.8954,0.45657,0.0,0.0
3,3,1,2,1.0,-0.56569,0.0,0.0,0.0
3,3,2,2,1.0,-0.23905,-0.80178,0.0,0.0
3,3,3,2,1.0,-0.36566,-0.6396,-0.72532,0.0
3,3,4,2,1.0,-0.62678,-0.29054,1.0113,0.0
3,3,5,2,1.0,-0.98131,0.69532,-0.3226,0.0
4,4,2,2,1.0,-0.85373,0.34362,0.0,0.0
4,4,3,2,1.0,-0.61859,-0.27412,0.78335,0.0
4,4,4,2,1.0,-0.65342,-0.18025,0.69259,0.94238
4,4,5,2,1.0,-0.80289,0.16046,0.58068,-0.97313
0,2,2,2,0.0,1.0,0.0,0.0,0.0
0,4,2,2,0.0,0.0,1.0,0.0,0.0
1,3,1,2,0.0,1.03923,0.0,0.0,0.0
1,3,2,2,0.0,0.71714,0.53452,0.0,0.0
1,3,3,2,0.0,0.45356,-1.02353,0.0,0.0
2,4,2,2,0.0,0.45816,-0.85373,0.0,0.0
2,4,3,2,0.0,0.39123,-0.77051,-0.82572,0.0
2,4,4,2,0.0,0.25612,-0.71234,0.96424,0.0
0,0,3,3,1.0,0.0,0.0,0.0,0.0
1,1,2,3,1.0,-0.23905,0.0,0.0,0.0
1,1,3,3,1.0,0.86603,0.0,0.0,0.0
1,1,4,3,1.0,-0.62678,0.0,0.0,0.0
2,2,1,3,1.0,-0.20203,0.0,0.0,0.0
2,2,2,3,1.0,0.68299,-0.11454,0.0,0.0
2,2,3,3,1.0,0.45363,0.67006,0.0,0.0
2,2,4,3,1.0,-0.08954,-0.91314,0.0,0.0
2,2,5,3,1.0,-0.84112,0.36422,0.0,0.0
3,3,0,3,1.0,0.0,0.0,0.0,0.0
3,3,1,3,1.0,0.70711,0.0,0.0,0.0
3,3,2,3,1.0,0.43825,0.53452,0.0,0.0
3,3,3,3,1.0,0.19245,-0.2132,0.29013,0.0
3,3,4,3,1.0,-0.11396,-0.6075,-0.91936,0.0
3,3,5,3,1.0,-0.49065,-0.46355,0.8065,0.0
4,4,1,3,1.0,-0.50508,0.0,0.0,0.0
4,4,2,3,1.0,-0.08537,-0.68724,0.0,0.0
4,4,3,3,1.0,-0.11247,-0.57315,-0.71214,0.0
4,4,4,3,1.0,-0.24716,-0.57209,-0.20839,-0.47119
4,4,5,3,1.0,-0.44556,-0.44787,0.37968,1.04799
0,2,3,3,0.0,1.0,0.0,0.0,0.0
0,4,3,3,0.0,0.0,1.0,0.0,0.0
1,3,2,3,0.0,0.93895,-0.11664,0.0,0.0
1,3,3,3,0.0,0.80178,0.72375,0.0,0.0
1,3,4,3,0.0,0.52489,-0.89214,0.0,0.0
2,4,1,3,0.0,1.04978,0.0,0.0,0.0
2,4,2,3,0.0,0.80992,0.60368,0.0,0.0
2,4,3,3,0.0,0.67006,-0.11247,0.32141,0.0
2,4,4,3,0.0,0.51224,-0.59362,-0.96424,0.0
2,4,5,3,0.0,0.31944,-0.75448,0.7351,0.0
0,0,4,4,1.0,0.0,0.0,0.0,0.0
1,1,3,4,1.0,-0.28868,0.0,0.0,0.0
1,1,4,4,1.0,0.8775,0.0,0.0,0.0
1,1,5,4,1.0,-0.58878,0.0,0.0,0.0
2,2,2,4,1.0,-0.34149,0.01273,0.0,0.0
2,2,3,4,1.0,0.61859,-0.22335,0.0,0.0
2,2,4,4,1.0,0.5291,0.74711,0.0,0.0
2,2,5,4,1.0,0.0,-0.84984,0.0,0.0
3,3,1,4,1.0,-0.2357,0.0,0.0,0.0
3,3,2,4,1.0,0.59761,-0.17817,0.0,0.0
3,3,3,4,1.0,0.57735,0.62668,-0.07913,0.0
3,3,4,4,1.0,0.35708,0.07924,0.51076,0.0
3,3,5,4,1.0,0.02265,-0.51109,-0.93058,0.0
4,4,0,4,1.0,0.0,0.0,0.0,0.0
4,4,1,4,1.0,0.70711,0.0,0.0,0.0
4,4,2,4,1.0,0.50448,0.56229,0.0,0.0
4,4,3,4,1.0,0.35241,0.07476,0.39563,0.0
4,4,4,4,1.0,0.1702,-0.28152,-0.48561,0.18123
4,4,5,4,1.0,-0.05147,-0.5184,-0.4839,-0.74856
0,2,4,4,0.0,1.0,0.0,0.0,0.0
0,4,4,4,0.0,0.0,1.0,0.0,0.0
1,3,3,4,0.0,0.88641,-0.21822,0.0,0.0
1,3,4,4,0.0,0.83324,0.7868,0.0,0.0
1,3,5,4,0.0,0.56569,-0.8165,0.0,0.0
2,4,2,4,0.0,0.8954,-0.18202,0.0,0.0
2,4,3,4,0.0,0.86504,0.66792,-0.08299,0.0
2,4,4,4,0.0,0.74711,0.1702,0.54091,0.0
2,4,5,4,0.0,0.57735,-0.45455,-0.94901,0.0
