l1,l2,J,s,S0,S2,S4,S6,S8
0,0,0.5,0.5,1.0,0.0,0.0,0.0,0.0
1,1,0.5,0.5,1.0,0.0,0.0,0.0,0.0
1,1,1.5,0.5,1.0,-1.0,0.0,0.0,0.0
2,2,1.5,0.5,1.0,-1.0,0.0,0.0,0.0
2,2,2.5,0.5,1.0,-1.06904,0.92582,0.0,0.0
3,3,2.5,0.5,1.0,-1.06904,0.92582,0.0,0.0
3,3,3.5,0.5,1.0,-1.09109,1.02565,-0.87039,0.0
4,4,3.5,0.5,1.0,-1.09109,1.02565,-0.87039,0.0
4,4,4.5,0.5,1.0,-1.10096,1.06436,-0.98473,0.82784
0,0,1.5,1.5,1.0,0.0,0.0,0.0,0.0
1,1,0.5,1.5,1.0,0.0,0.0,0.0,0.0
1,1,1.5,1.5,1.0,0.8,0.0,0.0,0.0
1,1,2.5,1.5,1.0,-0.74833,0.0,0.0,0.0
2,2,0.5,1.5,1.0,0.0,0.0,0.0,0.0
2,2,1.5,1.5,1.0,-0.0,0.0,0.0,0.0
2,2,2.5,1.5,1.0,-0.3818,-1.05808,0.0,0.0
2,2,3.5,1.5,1.0,-0.93522,0.53724,0.0,0.0
3,3,1.5,1.5,1.0,-0.8,0.0,0.0,0.0
3,3,2.5,1.5,1.0,-0.58797,-0.46291,0.0,0.0
3,3,3.5,1.5,1.0,-0.72739,-0.11396,1.16052,0.0
3,3,4.5,1.5,1.0,-1.00922,0.76871,-0.4103,0.0
4,4,2.5,1.5,1.0,-0.9545,0.59517,0.0,0.0
4,4,3.5,1.5,1.0,-0.81052,0.14652,0.69631,0.0
4,4,4.5,1.5,1.0,-0.87577,0.33866,0.42523,-1.20413
0,2,1.5,1.5,0.0,1.0,0.0,0.0,0.0
1,3,1.5,1.5,0.0,0.6,0.0,0.0,0.0
1,3,2.5,1.5,0.0,0.39279,-1.13389,0.0,0.0
2,4,2.5,1.5,0.0,0.28057,-0.80992,0.0,0.0
2,4,3.5,1.5,0.0,0.20912,-0.65526,1.16775,0.0
0,0,2.5,2.5,1.0,0.0,0.0,0.0,0.0
1,1,1.5,2.5,1.0,-0.2,0.0,0.0,0.0
1,1,2.5,2.5,1.0,0.85524,0.0,0.0,0.0
1,1,3.5,2.5,1.0,-0.65465,0.0,0.0,0.0
2,2,0.5,2.5,1.0,0.0,0.0,0.0,0.0
2,2,1.5,2.5,1.0,0.71429,0.0,0.0,0.0
2,2,2.5,2.5,1.0,0.3818,0.59517,0.0,0.0
2,2,3.5,2.5,1.0,-0.15587,-0.9551,0.0,0.0
2,2,4.5,2.5,1.0,-0.86504,0.40266,0.0,0.0
3,3,0.5,2.5,1.0,0.0,0.0,0.0,0.0
3,3,1.5,2.5,1.0,0.2,0.0,0.0,0.0
3,3,2.5,2.5,1.0,0.03563,-0.46291,0.0,0.0
3,3,3.5,2.5,1.0,-0.21822,-0.64578,-0.87039,0.0
3,3,4.5,2.5,1.0,-0.55048,-0.396,0.89521,0.0
4,4,1.5,2.5,1.0,-0.71429,0.0,0.0,0.0
4,4,2.5,2.5,1.0,-0.3818,-0.59517,0.0,0.0
4,4,3.5,2.5,1.0,-0.39959,-0.51948,0.14243,0.0
4,4,4.5,2.5,1.0,-0.53618,-0.35248,0.53713,1.05361
0,2,2.5,2.5,0.0,1.0,0.0,0.0,0.0
0,4,2.5,2.5,0.0,0.0,1.0,0.0,0.0
1,3,1.5,2.5,0.0,0.9798,0.0,0.0,0.0
1,3,2.5,2.5,0.0,0.77143,0.65983,0.0,0.0
1,3,3.5,2.5,0.0,0.49487,-0.94761,0.0,0.0
2,4,1.5,2.5,0.0,0.69985,0.0,0.0,0.0
2,4,2.5,2.5,0.0,0.59517,-0.3818,0.0,0.0
2,4,3.5,2.5,0.0,0.46238,-0.68051,-0.93891,0.0
2,4,4.5,2.5,0.0,0.29161,-0.74037,0.82988,0.0
0,0,3.5,3.5,1.0,0.0,0.0,0.0,0.0
1,1,2.5,3.5,1.0,-0.26726,0.0,0.0,0.0
1,1,3.5,3.5,1.0,0.87287,0.0,0.0,0.0
1,1,4.5,3.5,1.0,-0.60553,0.0,0.0,0.0
