Ji,Jf,L1,L2,U2_L1,U2_L2,U4_L1,U4_L2,U6_L1,U6_L2,U8_L1,U8_L2
1,1,1,2,-0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,2,0.5916,-0.5916,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2,3,0.4899,-0.6124,0.0,0.0,0.0,0.0,0.0,0.0
1,4,3,4,0.4432,-0.6205,0.0,0.0,0.0,0.0,0.0,0.0
1,5,4,5,0.4163,-0.6245,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.5,1,2,0.2,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
1.5,2.5,1,2,0.7483,-0.1069,0.0,0.0,0.0,0.0,0.0,0.0
1.5,3.5,2,3,0.6547,-0.2182,0.0,0.0,0.0,0.0,0.0,0.0
1.5,4.5,3,4,0.6055,-0.2752,0.0,0.0,0.0,0.0,0.0,0.0
1.5,5.5,4,5,0.5752,-0.3097,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,2,0.5,-0.2143,-0.6667,0.2857,0.0,0.0,0.0,0.0
2,3,1,2,0.8281,0.207,0.4179,-0.6268,0.0,0.0,0.0,0.0
2,4,2,3,0.7491,0.0749,0.2847,-0.5694,0.0,0.0,0.0,0.0
2,5,3,4,0.7037,0.0,0.2271,-0.53,0.0,0.0,0.0,0.0
2,6,4,5,0.6742,-0.0482,0.1953,-0.5023,0.0,0.0,0.0,0.0
2.5,2.5,1,2,0.6571,0.1,-0.1429,-0.5,0.0,0.0,0.0,0.0
2.5,3.5,1,2,0.8748,0.4082,0.5803,-0.4513,0.0,0.0,0.0,0.0
2.5,4.5,2,3,0.8092,0.2795,0.4349,-0.514,0.0,0.0,0.0,0.0
2.5,5.5,3,4,0.7687,0.201,0.3624,-0.5296,0.0,0.0,0.0,0.0
2.5,6.5,4,5,0.7412,0.1482,0.3192,-0.532,0.0,0.0,0.0,0.0
3,3,1,2,0.75,0.3167,0.1667,-0.5,-0.75,0.4167,0.0,0.0
3,4,1,2,0.9047,0.5428,0.6814,-0.2271,0.3227,-0.5809,0.0,0.0
3,5,2,3,0.8498,0.4249,0.5436,-0.3624,0.1853,-0.4633,0.0,0.0
3,6,3,4,0.8142,0.3489,0.4675,-0.423,0.1308,-0.3924,0.0,0.0
3,7,4,5,0.7891,0.2959,0.4195,-0.4545,0.1026,-0.3463,0.0,0.0
3.5,3.5,1,2,0.8095,0.4667,0.3651,-0.3333,-0.3333,-0.3333,0.0,0.0
3.5,4.5,1,2,0.925,0.6367,0.7495,-0.0292,0.4714,-0.5571,0.0,0.0
3.5,5.5,2,3,0.8787,0.5311,0.6245,-0.199,0.306,-0.5415,0.0,0.0
3.5,6.5,3,4,0.8473,0.46,0.5501,-0.2881,0.2295,-0.5048,0.0,0.0
3.5,7.5,4,5,0.8246,0.4088,0.501,-0.341,0.1864,-0.4715,0.0,0.0
4,4,1,2,0.85,0.5734,0.5,-0.1494,-0.05,-0.5136,-0.8,0.5091
4,5,1,2,0.9394,0.7045,0.7977,0.133,0.5742,-0.4306,0.2629,-0.5257
4,6,2,3,0.9,0.6107,0.6861,-0.049,0.4053,-0.5066,0.13,-0.3715
4,7,3,4,0.8723,0.5452,0.6157,-0.1539,0.3179,-0.5167,0.082,-0.2868
4,8,4,5,0.8517,0.4968,0.5674,-0.2207,0.2656,-0.509,0.0588,-0.2352
4.5,4.5,1,2,0.8788,0.6515,0.596,0.0152,0.1515,-0.4848,-0.4545,-0.1818
4.5,5.5,1,2,0.95,0.7551,0.8332,0.2635,0.6492,-0.283,0.3963,-0.5792
4.5,6.5,2,3,0.9161,0.6718,0.734,0.0816,0.4868,-0.4219,0.2261,-0.4973
4.5,7.5,3,4,0.8915,0.6118,0.6684,-0.0306,0.3954,-0.473,0.1533,-0.4239
4.5,8.5,4,5,0.8729,0.5666,0.622,-0.1055,0.3378,-0.4918,0.115,-0.3691
5,5,1,2,0.9,0.7103,0.6667,0.1538,0.3,-0.3821,-0.2,-0.4462
5,6,1,2,0.958,0.7938,0.8601,0.3686,0.7059,-0.1412,0.4947,-0.523
5,7,2,3,0.9286,0.7196,0.7718,0.193,0.5537,-0.3184,0.3118,-0.53
5,8,3,4,0.9067,0.6649,0.7113,0.079,0.4625,-0.4008,0.2237,-0.4921
5,9,4,5,0.8899,0.6229,0.6672,0.0,0.4023,-0.4426,0.1738,-0.4519
5.5,5.5,1,2,0.9161,0.7554,0.7203,0.2687,0.4126,-0.2587,-0.007,-0.5105
5.5,6.5,1,2,0.9643,0.824,0.8809,0.4538,0.7498,-0.0136,0.5705,-0.4253
5.5,7.5,2,3,0.9385,0.7578,0.8022,0.2874,0.6091,-0.2117,0.3869,-0.5069
5.5,8.5,3,4,0.9189,0.7079,0.7465,0.175,0.5202,-0.3161,0.2901,-0.5095
5.5,9.5,4,5,0.9036,0.6689,0.705,0.0946,0.4595,-0.376,0.2321,-0.4913
6,6,1,2,0.9286,0.7909,0.7619,0.3636,0.5,-0.1364,0.1429,-0.4805
6,7,1,2,0.9692,0.8481,0.8974,0.5235,0.7845,0.0981,0.6302,-0.3151
6,8,2,3,0.9464,0.7887,0.827,0.3676,0.6552,-0.1092,0.4521,-0.4521
6,9,3,4,0.9288,0.7431,0.7758,0.2586,0.57,-0.228,0.3513,-0.4918
6,10,4,5,0.9149,0.7069,0.7369,0.1786,0.51,-0.3014,0.2879,-0.4973
6.5,6.5,1,2,0.9385,0.8192,0.7949,0.4423,0.5692,-0.0231,0.2615,-0.4077
6.5,7.5,1,2,0.9732,0.8675,0.9107,0.581,0.8124,0.1948,0.6782,-0.2056
6.5,8.5,2,3,0.9529,0.814,0.8474,0.4357,0.6939,-0.014,0.5086,-0.3809
6.5,9.5,3,4,0.9371,0.7723,0.8004,0.3313,0.6129,-0.1414,0.4068,-0.4515
7,7,1,2,0.9464,0.8422,0.8214,0.5079,0.625,0.0786,0.3571,-0.3177
7,8,1,2,0.9765,0.8835,0.9216,0.629,0.8352,0.2784,0.7174,-0.1025
7,9,2,3,0.9583,0.8351,0.8645,0.494,0.7266,0.0727,0.5574,-0.3026
7,10,3,4,0.9439,0.7968,0.8212,0.3946,0.6501,-0.0591,0.4568,-0.3975
7.5,7.5,1,2,0.9529,0.8611,0.8431,0.563,0.6706,0.1686,0.4353,-0.2235
7.5,8.5,1,2,0.9792,0.8967,0.9305,0.6693,0.8541,0.3506,0.7499,-0.0079
7.5,9.5,2,3,0.9628,0.8528,0.8788,0.544,0.7545,0.1509,0.5998,-0.2228
8,8,1,2,0.9583,0.8768,0.8611,0.6096,0.7083,0.2478,0.5,-0.1316
8,9,1,2,0.9814,0.9078,0.9381,0.7036,0.8699,0.4132,0.777,0.0777
8,10,2,3,0.9667,0.8678,0.891,0.5873,0.7784,0.2211,0.6367,-0.1447
8.5,8.5,1,2,0.9628,0.8899,0.8762,0.6494,0.7399,0.3173,0.5542,-0.0449
8.5,9.5,1,2,0.9833,0.9172,0.9444,0.7328,0.8833,0.4676,0.7999,0.1546
9,9,1,2,0.9667,0.9011,0.8889,0.6835,0.7667,0.3784,0.6,0.0353
9,10,1,2,0.985,0.9253,0.9499,0.758,0.8947,0.5151,0.8195,0.2235
9.5,9.5,1,2,0.9699,0.9107,0.8997,0.7129,0.7895,0.4322,0.6391,0.1087
10,10,1,2,0.9727,0.9189,0.9091,0.7385,0.8091,0.4797,0.6727,0.1755
