J,k,m0,m1,m2,m3,m4,m5,m6
1,2,-1.4142,1.4142,0.0,0.0,0.0,0.0,0.0
2,2,-1.1952,-1.1952,2.3905,0.0,0.0,0.0,0.0
2,4,1.6036,-2.1381,0.5345,0.0,0.0,0.0,0.0
3,2,-1.1547,-1.7321,-0.0,2.8868,0.0,0.0,0.0
3,4,1.2792,0.4264,-2.9848,1.2792,0.0,0.0,0.0
3,6,-1.7408,2.6112,-1.0445,0.1741,0.0,0.0,0.0
4,2,-1.1396,-1.9373,-0.9117,0.7977,3.1909,0.0,0.0
4,4,1.2069,1.2069,-1.4751,-2.816,1.8774,0.0,0.0
4,6,-1.3484,0.1348,2.9665,-2.2923,0.5394,0.0,0.0
4,8,1.8511,-2.9618,1.4809,-0.4231,0.0529,0.0,0.0
5,2,-1.1323,-2.0381,-1.3587,-0.2265,1.3587,3.3968,0.0
5,4,1.1767,1.5689,-0.3922,-2.3534,-2.3534,2.3534,0.0
5,6,-1.2524,-0.7515,2.2544,1.8161,-3.0059,0.9393,0.0
5,8,1.4085,-0.5634,-2.7365,2.9377,-1.2475,0.2012,0.0
6,2,-1.1282,-2.0951,-1.6116,-0.8058,0.3223,1.7728,3.5456
6,4,1.1609,1.7689,0.304,-1.4925,-2.6534,-1.8242,2.7363
6,6,-1.2098,-1.2098,1.3308,2.601,0.4839,-3.3269,1.3308
6,8,1.2941,0.3697,-2.6251,-0.7025,3.2907,-2.0336,0.4067
7,2,-1.1256,-2.1306,-1.7688,-1.1658,-0.3216,0.7638,2.0904
7,4,1.1514,1.8916,0.7646,-0.7585,-2.1444,-2.647,-1.3068
7,6,-1.1863,-1.4829,0.5931,2.337,2.0879,-0.6525,-3.3928
7,8,1.2411,0.8865,-1.9502,-2.2055,1.1134,2.9431,-2.6736
8,2,-1.1239,-2.1541,-1.8732,-1.4049,-0.7493,0.0937,1.1239
8,4,1.1453,1.9725,1.0817,-0.1909,-1.5271,-2.4815,-2.4815
8,6,-1.1717,-1.66,0.0391,1.8162,2.4997,1.2694,-1.5233
8,8,1.2109,1.2109,-1.2801,-2.5256,-0.8649,2.2488,2.2488
9,2,-1.1227,-2.1706,-1.9461,-1.5718,-1.0479,-0.3742,0.4491
9,4,1.1411,2.0287,1.3083,0.2421,-0.9682,-2.0402,-2.6107
9,6,-1.1621,-1.7818,-0.3768,1.2835,2.3805,2.1745,0.412
9,8,1.1918,1.4301,-0.7151,-2.3495,-1.9409,0.5108,2.7581
10,2,-1.1219,-2.1825,-1.999,-1.693,-1.2646,-0.7139,-0.0408
10,4,1.1381,2.0693,1.4753,0.5748,-0.4982,-1.5558,-2.3567
10,6,-1.1552,-1.8694,-0.6931,0.8083,2.0552,2.4539,1.6141
10,8,1.1787,1.5859,-0.2572,-1.9931,-2.371,-0.8857,1.5824
11,2,-1.1212,-2.1915,-2.0386,-1.7838,-1.427,-0.9683,-0.4077
11,4,1.1359,2.0997,1.6019,0.834,-0.1112,-1.1041,-1.9779
11,6,-1.1503,-1.9345,-0.9379,0.403,1.6699,2.4011,2.2152
11,8,1.1694,1.7009,0.1112,-1.5925,-2.4259,-1.7593,0.2145
12,2,-1.1207,-2.1984,-2.069,-1.8535,-1.5518,-1.1638,-0.6897
12,4,1.1342,2.1229,1.6999,1.039,0.2062,-0.7059,-1.5783
12,6,-1.1465,-1.9843,-1.1304,0.0627,1.2873,2.1863,2.428
12,8,1.1624,1.7883,0.4088,-1.2038,-2.2816,-2.215,-0.8773
