J,k,m_1_2,m_3_2,m_5_2,m_7_2,m_9_2,m_11_2,m_13_2
1.5,2,-2.0,2.0,0.0,0.0,0.0,0.0,0.0
2.5,2,-2.1381,-0.5345,2.6726,0.0,0.0,0.0,0.0
2.5,4,1.8516,-2.7775,0.9258,0.0,0.0,0.0,0.0
3.5,2,-2.1822,-1.3093,0.4364,3.0551,0.0,0.0,0.0
3.5,4,2.0513,-0.6838,-2.963,1.5954,0.0,0.0,0.0
3.5,6,-1.7408,3.1334,-1.7408,0.3482,0.0,0.0,0.0
4.5,2,-2.2019,-1.6514,-0.5505,1.101,3.3029,0.0,0.0
4.5,4,2.1287,0.3548,-2.0105,-2.6018,2.1287,0.0,0.0
4.5,6,-1.9695,1.4771,2.4618,-2.708,0.7385,0.0,0.0
4.5,8,1.6557,-3.3113,2.3652,-0.8278,0.1183,0.0,0.0
5.5,2,-2.2125,-1.8332,-1.0746,0.0632,1.5803,3.4768,0.0
5.5,4,2.1678,0.9291,-1.0065,-2.5549,-2.0904,2.5549,0.0
5.5,6,-2.0684,0.4137,2.5854,1.1376,-3.2059,1.1376,0.0
5.5,8,1.8992,-2.0077,-1.7635,3.2286,-1.655,0.2984,0.0
6.5,2,-2.2188,-1.9415,-1.3868,-0.5547,0.5547,1.9415,3.6056
6.5,4,2.1904,1.2778,-0.2637,-1.8659,-2.6772,-1.5617,2.9003
6.5,6,-2.1221,-0.2653,1.9629,2.4086,-0.1167,-3.3847,1.5173
6.5,8,2.0121,-1.0061,-2.6157,0.2817,3.1791,-2.3743,0.5231
7.5,2,-2.2229,-2.0112,-1.5878,-0.9527,-0.1059,0.9527,2.2229
7.5,4,2.2048,1.5049,0.2683,-1.1782,-2.3448,-2.5781,-1.0616
7.5,6,-2.155,-0.7183,1.293,2.4998,1.6953,-1.1206,-3.3618
7.5,8,2.0767,-0.2967,-2.4327,-1.5783,1.7681,2.6226,-2.9311
8.5,2,-2.2257,-2.0587,-1.7249,-1.2241,-0.5564,0.2782,1.2798
8.5,4,2.2145,1.6609,0.6543,-0.604,-1.8119,-2.5668,-2.3655
8.5,6,-2.1767,-1.034,0.7173,2.1718,2.3796,0.8361,-1.8651
8.5,8,2.1178,0.2118,-1.9665,-2.3296,-0.1513,2.5716,1.8455
9.5,2,-2.2276,-2.0926,-1.8226,-1.4176,-0.8776,-0.2025,0.6075
9.5,4,2.2214,1.7726,0.9405,-0.144,-1.2846,-2.2195,-2.6215
9.5,6,-2.1919,-1.262,0.2491,1.7282,2.4666,1.9122,0.0077
9.5,8,2.1459,0.5852,-1.4631,-2.4663,-1.4392,1.0928,2.8306
10.5,2,-2.2291,-2.1177,-1.8947,-1.5604,-1.1146,-0.5573,0.1115
10.5,4,2.2264,1.8553,1.1576,0.222,-0.8183,-1.7856,-2.4579
10.5,6,-2.203,-1.4319,-0.1271,1.2837,2.275,2.364,1.2964
10.5,8,2.1659,0.8664,-0.9997,-2.3064,-2.1187,-0.3244,1.9769
11.5,2,-2.2302,-2.1367,-1.9495,-1.6688,-1.2945,-0.8266,-0.2651
11.5,4,2.2302,1.9183,1.3257,0.5147,-0.4211,-1.3569,-2.1367
11.5,6,-2.2113,-1.5618,-0.4299,0.8777,1.9688,2.4475,2.0232
11.5,8,2.1809,1.0828,-0.5957,-2.0186,-2.3839,-1.3345,0.7115
