#J, m, B2, B4, B6
1, 0, -1.41421, 0.00000, 0.00000
2, 0, -1.19523, 1.60357, 0.00000
3, 0, -1.15470, 1.27920, -1.74078
4, 0, -1.13961, 1.20687, -1.34840
5, 0, -1.13228, 1.17670, -1.25245
6, 0, -1.12815, 1.16086, -1.20977
7, 0, -1.12560, 1.15142, -1.18628
8, 0, -1.12390, 1.14531, -1.17175
9, 0, -1.12272, 1.14112, -1.16206
10, 0, -1.12187, 1.13811, -1.15524
11, 0, -1.12122, 1.13588, -1.15025
12, 0, -1.12073, 1.13418, -1.14648
13, 0, -1.12034, 1.13285, -1.14356
14, 0, -1.12004, 1.13179, -1.14125
15, 0, -1.11979, 1.13093, -1.13939
16, 0, -1.11958, 1.13022, -1.13786
17, 0, -1.11941, 1.12964, -1.13660
18, 0, -1.11926, 1.12915, -1.13554
19, 0, -1.11914, 1.12873, -1.13465
20, 0, -1.11903, 1.12837, -1.13388
1.5, 0.5, -1.00000, 0.00000, 0.00000
2.5, 0.5, -1.06904, 0.92582, 0.00000
3.5, 0.5, -1.09109, 1.02565, -0.87039
4.5, 0.5, -1.10096, 1.06436, -0.98473
5.5, 0.5, -1.10624, 1.08389, -1.03418
6.5, 0.5, -1.10940, 1.09522, -1.06104
7.5, 0.5, -1.11144, 1.10240, -1.07749
8.5, 0.5, -1.11283, 1.10725, -1.08837
9.5, 0.5, -1.11382, 1.11068, -1.09596
10.5, 0.5, -1.11456, 1.11321, -1.10148
11.5, 0.5, -1.11511, 1.11511, -1.10563
12.5, 0.5, -1.11555, 1.11659, -1.10882
13.5, 0.5, -1.11589, 1.11776, -1.11134
14.5, 0.5, -1.11617, 1.11870, -1.11336
15.5, 0.5, -1.11639, 1.11947, -1.11501
16.5, 0.5, -1.11658, 1.12010, -1.11636
17.5, 0.5, -1.11674, 1.12064, -1.11750
18.5, 0.5, -1.11687, 1.12109, -1.11845
19.5, 0.5, -1.11698, 1.12147, -1.11927
20.5, 0.5, -1.11708, 1.12180, -1.11997
