J,SIGMA/J,ALPHA(2),ALPHA(4)
1,0.1,1.00000e+00,0.00000e+00
1,0.2,9.99989e-01,0.00000e+00
1,0.3,9.88491e-01,0.00000e+00
1,0.4,8.78836e-01,0.00000e+00
1,0.5,6.80479e-01,0.00000e+00
1,0.6,5.00864e-01,0.00000e+00
1,0.7,3.71639e-01,0.00000e+00
1,0.8,2.83017e-01,0.00000e+00
1,0.9,2.21565e-01,0.00000e+00
1,1.0,1.77794e-01,0.00000e+00
1,1.1,1.45709e-01,0.00000e+00
1,1.2,1.21556e-01,0.00000e+00
1,1.3,1.02946e-01,0.00000e+00
1,1.4,8.83103e-02,0.00000e+00
1,1.5,7.65960e-02,0.00000e+00
1,1.6,6.70745e-02,0.00000e+00
1,1.7,5.92304e-02,0.00000e+00
1,1.8,5.26910e-02,0.00000e+00
1,1.9,4.71818e-02,0.00000e+00
1,2.0,4.24967e-02,0.00000e+00
2,0.1,9.99996e-01,9.99988e-01
2,0.2,9.59599e-01,8.65369e-01
2,0.3,8.24210e-01,4.43974e-01
2,0.4,6.83769e-01,2.01743e-01
2,0.5,5.37844e-01,9.51811e-02
2,0.6,4.14816e-01,4.83927e-02
2,0.7,3.22250e-01,2.66109e-02
2,0.8,2.54691e-01,1.56821e-02
2,0.9,2.05173e-01,9.79221e-03
2,1.0,1.68282e-01,6.41377e-03
2,1.1,1.40262e-01,4.37069e-03
2,1.2,1.18568e-01,3.07878e-03
2,1.3,1.01473e-01,2.23039e-03
2,1.4,8.77839e-02,1.65496e-03
2,1.5,7.66647e-02,1.25366e-03
2,1.6,6.75165e-02,9.66946e-04
2,1.7,5.99034e-02,7.57719e-04
2,1.8,5.35025e-02,6.02154e-04
2,1.9,4.80709e-02,4.84552e-04
2,2.0,4.34232e-02,3.94317e-04
3,0.1,9.98082e-01,9.93606e-01
3,0.2,9.12094e-01,7.13004e-01
3,0.3,7.97675e-01,4.37142e-01
3,0.4,6.50070e-01,2.32565e-01
3,0.5,5.04218e-01,1.19908e-01
3,0.6,3.87303e-01,6.44063e-02
3,0.7,3.01027e-01,3.67306e-02
3,0.8,2.38384e-01,2.21989e-02
3,0.9,1.92458e-01,1.41144e-02
3,1.0,1.58174e-01,9.36890e-03
3,1.1,1.32068e-01,6.44919e-03
3,1.2,1.11807e-01,4.57846e-03
3,1.3,9.58054e-02,3.33724e-03
3,1.4,8.29674e-02,2.48845e-03
3,1.5,7.25218e-02,1.89259e-03
3,1.6,6.39153e-02,1.46457e-03
3,1.7,5.67440e-02,1.15082e-03
3,1.8,5.07081e-02,9.16656e-04
3,1.9,4.55813e-02,7.39076e-04
3,2.0,4.11910e-02,6.02451e-04
4,0.1,9.87880e-01,9.59601e-01
4,0.2,9.04016e-01,6.99180e-01
4,0.3,7.84412e-01,4.34026e-01
4,0.4,6.31252e-01,2.32634e-01
4,0.5,4.85761e-01,1.21310e-01
4,0.6,3.71871e-01,6.58457e-02
4,0.7,2.88718e-01,3.78685e-02
4,0.8,2.28602e-01,2.30348e-02
4,0.9,1.84599e-01,1.47181e-02
4,1.0,1.51763e-01,9.80658e-03
4,1.1,1.26757e-01,6.77033e-03
4,1.2,1.07344e-01,4.81760e-03
4,1.3,9.20070e-02,3.51806e-03
4,1.4,7.96974e-02,2.62722e-03
4,1.5,6.96782e-02,2.00060e-03
4,1.6,6.14203e-02,1.54973e-03
4,1.7,5.45376e-02,1.21877e-03
4,1.8,4.87430e-02,9.71489e-04
4,1.9,4.38202e-02,7.83769e-04
4,2.0,3.96036e-02,6.39221e-04
5,0.1,9.78499e-01,9.28417e-01
5,0.2,9.00000e-01,6.94445e-01
5,0.3,7.75651e-01,4.28423e-01
5,0.4,6.19155e-01,2.29123e-01
5,0.5,4.73978e-01,1.19674e-01
5,0.6,3.61945e-01,6.51431e-02
5,0.7,2.80707e-01,3.75681e-02
5,0.8,2.22162e-01,2.29051e-02
5,0.9,1.79372e-01,1.46624e-02
5,1.0,1.47463e-01,9.78383e-03
5,1.1,1.23169e-01,6.76250e-03
5,1.2,1.04312e-01,4.81651e-03
5,1.3,8.94132e-02,3.51992e-03
5,1.4,7.74553e-02,2.63023e-03
5,1.5,6.77217e-02,2.00391e-03
5,1.6,5.96988e-02,1.55295e-03
5,1.7,5.30114e-02,1.22174e-03
5,1.8,4.73809e-02,9.74152e-04
5,1.9,4.25972e-02,7.86121e-04
5,2.0,3.84995e-02,6.41282e-04
6,0.1,9.74884e-01,9.16711e-01
6,0.2,8.97143e-01,6.90343e-01
6,0.3,7.69434e-01,4.23211e-01
6,0.4,6.10703e-01,2.25470e-01
6,0.5,4.65780e-01,1.17680e-01
6,0.6,3.55017e-01,6.40994e-02
6,0.7,2.75085e-01,3.70028e-02
6,0.8,2.17618e-01,2.25818e-02
6,0.9,1.75666e-01,1.44671e-02
6,1.0,1.44401e-01,9.65993e-03
6,1.1,1.20607e-01,6.68047e-03
6,1.2,1.02140e-01,4.76017e-03
6,1.3,8.75509e-02,3.47999e-03
6,1.4,7.58423e-02,2.60117e-03
6,1.5,6.63120e-02,1.98225e-03
6,1.6,5.84566e-02,1.53648e-03
6,1.7,5.19089e-02,1.20900e-03
6,1.8,4.63959e-02,9.64131e-04
6,1.9,4.17121e-02,7.78133e-04
6,2.0,3.76999e-02,6.34836e-04
7,0.1,9.73814e-01,9.13637e-01
7,0.2,8.95000e-01,6.86901e-01
7,0.3,7.64792e-01,4.18772e-01
7,0.4,6.04458e-01,2.22253e-01
7,0.5,4.59741e-01,1.15843e-01
7,0.6,3.49905e-01,6.30918e-02
7,0.7,2.70924e-01,3.64322e-02
7,0.8,2.14245e-01,2.22424e-02
7,0.9,1.72907e-01,1.42550e-02
7,1.0,1.42117e-01,9.52135e-03
7,1.1,1.18691e-01,6.58641e-03
7,1.2,1.00513e-01,4.69421e-03
7,1.3,8.61547e-02,3.43241e-03
7,1.4,7.46318e-02,2.56600e-03
7,1.5,6.52530e-02,1.95570e-03
7,1.6,5.75228e-02,1.51607e-03
7,1.7,5.10795e-02,1.19305e-03
7,1.8,4.56546e-02,9.51487e-04
7,1.9,4.10455e-02,7.67981e-04
7,2.0,3.70975e-02,6.26590e-04
8,0.1,9.73338e-01,9.12492e-01
8,0.2,8.93334e-01,6.84029e-01
8,0.3,7.61195e-01,4.15049e-01
8,0.4,5.99652e-01,2.19516e-01
8,0.5,4.55105e-01,1.14250e-01
8,0.6,3.45977e-01,6.21993e-02
8,0.7,2.67722e-01,3.59173e-02
8,0.8,2.11643e-01,2.19312e-02
8,0.9,1.70776e-01,1.40579e-02
8,1.0,1.40349e-01,9.39125e-03
8,1.1,1.17207e-01,6.49734e-03
8,1.2,9.92519e-02,4.63128e-03
8,1.3,8.50711e-02,3.38674e-03
8,1.4,7.36916e-02,2.53208e-03
8,1.5,6.44301e-02,1.92999e-03
8,1.6,5.67968e-02,1.49623e-03
8,1.7,5.04344e-02,1.17750e-03
8,1.8,4.50778e-02,9.39128e-04
8,1.9,4.05268e-02,7.58035e-04
8,2.0,3.66285e-02,6.18496e-04
9,0.1,9.73000e-01,9.11707e-01
9,0.2,8.92000e-01,6.81618e-01
9,0.3,7.58325e-01,4.11918e-01
9,0.4,5.95838e-01,2.17199e-01
9,0.5,4.51432e-01,1.12886e-01
9,0.6,3.42864e-01,6.14267e-02
9,0.7,2.65181e-01,3.54671e-02
9,0.8,2.09576e-01,2.16568e-02
9,0.9,1.69080e-01,1.38830e-02
9,1.0,1.38942e-01,9.27510e-03
9,1.1,1.16024e-01,6.41745e-03
9,1.2,9.82462e-02,4.57464e-03
9,1.3,8.42066e-02,3.34551e-03
9,1.4,7.29412e-02,2.50137e-03
9,1.5,6.37729e-02,1.90667e-03
9,1.6,5.62168e-02,1.47820e-03
9,1.7,4.99190e-02,1.16335e-03
9,1.8,4.46168e-02,9.27866e-04
9,1.9,4.01121e-02,7.48963e-04
