E,a2
2.7364,0.46089
2.7376,0.46026
2.7381,0.46
2.8525,0.39667
2.9106,0.39
2.9976,0.37333
3.0545,0.33333
3.055,0.33313
3.1122,0.31667
3.2577,0.30333
3.3154,0.28667
3.3441,0.27333
3.4893,0.25333
3.5179,0.23667
3.6049,0.22333
3.6339,0.21667
3.7793,0.20333
3.925,0.19667
4.0704,0.18333
4.3033,0.16667
4.4782,0.16333
4.6239,0.15667
4.7989,0.15333
5.0321,0.14667
5.207,0.14
5.2941,0.13
5.7028,0.13333
5.9071,0.13333
6.1116,0.14
6.2574,0.13667
6.4908,0.13333
6.695,0.13333
6.8408,0.13
6.9867,0.13
7.22,0.12333
7.4536,0.12667
7.7746,0.12667
7.9201,0.11667
8.241,0.11333
8.5327,0.11
8.6786,0.11
8.8537,0.11
9.1453,0.10333
9.408,0.10333
9.7581,0.10333
10.0792,0.10333
10.3125,0.1
10.4876,0.1
10.7212,0.10333
10.8959,0.09333
11.042,0.09667
11.1295,0.09667
11.1879,0.09667
11.3921,0.09667
11.6254,0.09
11.888,0.09
12.2093,0.09667
12.4424,0.08667
12.6761,0.09333
12.822,0.09333
12.9679,0.09333
13.0846,0.09333
13.2889,0.09333
13.4056,0.09333
13.6098,0.09
13.8141,0.09
14.0475,0.09
14.2517,0.08667
14.4852,0.08667
